"RequestID","Day","SupplyingLogNode","DeliveredAmount","Distance","FuelAmountExpended","SortieDurationPer","FuelTypeExpended","OriginatingUnit","SupplyType"
-566,1,"ANDONG SUPPLY DEPOT",54400,29.6141633472924,296.141633472924,1.91814305757047,"FUEL","US BDE MECH","DRY_BULK"
-567,1,"ANDONG SUPPLY DEPOT",54400,34.5156496856348,345.156496856348,1.98721987705601,"FUEL","ALLIED BDE MECH","DRY_BULK"
-568,1,"ANDONG SUPPLY DEPOT",86200,34.637705301811,554.203284828975,2.2018698112933,"FUEL","ALLIED DIV INF","DRY_BULK"
-569,1,"ANDONG SUPPLY DEPOT",50000,29.6141633472924,177.684980083755,1.91814305757047,"FUEL","US BDE MECH","WATER"
-570,1,"ANDONG SUPPLY DEPOT",50000,34.5156496856348,207.093898113809,1.98721987705601,"FUEL","ALLIED BDE MECH","WATER"
-571,1,"ANDONG SUPPLY DEPOT",117200,34.637705301811,484.927874225353,2.2018698112933,"FUEL","ALLIED DIV INF","WATER"
-572,1,"ANDONG SUPPLY DEPOT",46240,22.8025020198455,228.025020198455,1.82103981065868,"FUEL","US BDE STRYKER","DRY_BULK"
-573,1,"ANDONG SUPPLY DEPOT",43373.75,22.8025020198455,136.815012119073,1.82103981065868,"FUEL","US BDE STRYKER","WATER"
-577,2,"ANDONG SUPPLY DEPOT",75000,44.4502520183466,355.602016146772,2.43031687188919,"FUEL","US BDE MECH","FUEL"
-577,2,"ANDONG SUPPLY DEPOT",230000,44.4502520183466,1022.35579642197,2.14255638220167,"FUEL","US BDE MECH","FUEL"
-578,2,"ANDONG SUPPLY DEPOT",305000,44.3362264092515,1507.43169791455,2.41891431097969,"FUEL","ALLIED BDE MECH","FUEL"
-579,2,"ANDONG SUPPLY DEPOT",236900,32.2019947986401,837.251864764641,1.95829876097621,"FUEL","ALLIED DIV INF","FUEL"
-580,2,"ANDONG SUPPLY DEPOT",84320,35.2705898088534,352.705898088534,2.26515826199754,"FUEL","US BDE STRYKER","FUEL"
-581,2,"ANDONG SUPPLY DEPOT",54400,44.4502520183466,444.502520183466,2.43031687188919,"FUEL","US BDE MECH","DRY_BULK"
-582,2,"ANDONG SUPPLY DEPOT",54400,44.3362264092515,443.362264092515,2.41891431097969,"FUEL","ALLIED BDE MECH","DRY_BULK"
-583,2,"ANDONG SUPPLY DEPOT",86200,32.2019947986401,515.231916778241,1.95829876097621,"FUEL","ALLIED DIV INF","DRY_BULK"
-584,2,"ANDONG SUPPLY DEPOT",50000,44.4502520183466,266.701512110079,2.43031687188919,"FUEL","US BDE MECH","WATER"
-585,2,"ANDONG SUPPLY DEPOT",50000,44.3362264092515,266.017358455509,2.41891431097969,"FUEL","ALLIED BDE MECH","WATER"
-586,2,"ANDONG SUPPLY DEPOT",122400,32.2019947986401,450.827927180961,1.95829876097621,"FUEL","ALLIED DIV INF","WATER"
-587,2,"ANDONG SUPPLY DEPOT",46240,35.2705898088534,352.705898088534,2.26515826199754,"FUEL","US BDE STRYKER","DRY_BULK"
-588,2,"ANDONG SUPPLY DEPOT",44115,35.2705898088534,211.62353885312,2.26515826199754,"FUEL","US BDE STRYKER","WATER"
-592,3,"ANDONG SUPPLY DEPOT",115000,59.2419906338064,829.38786887329,3.04469552451017,"FUEL","US BDE MECH","FUEL"
-592,3,"ANDONG SUPPLY DEPOT",190000,59.2419906338064,1125.59782204232,2.62388961806496,"FUEL","US BDE MECH","FUEL"
-593,3,"ANDONG SUPPLY DEPOT",305000,58.7353637217854,1997.0023665407,2.99403283330807,"FUEL","ALLIED BDE MECH","FUEL"
-594,3,"ANDONG SUPPLY DEPOT",236900,48.7384563733744,1267.19986570774,2.71137854039968,"FUEL","ALLIED DIV INF","FUEL"
-595,3,"SEA BASE",9800,63.2136426111922,148.73798261457,2.27505678477627,"FUEL","ALLIED MEB","FUEL"
-595,3,NA,25000,0,0,0,NA,"ALLIED MEB","FUEL"
-596,3,"SEA BASE",14880,71.6603007308302,337.224944615672,2.56499869571286,"FUEL","US MEB","FUEL"
-597,3,"ANDONG SUPPLY DEPOT",84320,50.0972664668203,500.972664668203,2.84725954974426,"FUEL","US BDE STRYKER","FUEL"
-598,3,"ANDONG SUPPLY DEPOT",54400,59.2419906338064,592.419906338064,3.04469552451017,"FUEL","US BDE MECH","DRY_BULK"
-599,3,"ANDONG SUPPLY DEPOT",54400,58.7353637217854,587.353637217854,2.99403283330807,"FUEL","ALLIED BDE MECH","DRY_BULK"
-600,3,"ANDONG SUPPLY DEPOT",86200,48.7384563733744,779.815301973991,2.71137854039968,"FUEL","ALLIED DIV INF","DRY_BULK"
-601,3,"ANDONG SUPPLY DEPOT",50000,59.2419906338064,355.451943802839,3.04469552451017,"FUEL","US BDE MECH","WATER"
-602,3,NA,17580,0,0,0,NA,"ALLIED MEB","DRY_BULK"
-603,3,"SEA BASE",8160,71.6603007308302,168.612472307836,2.56499869571286,"FUEL","US MEB","DRY_BULK"
-604,3,"ANDONG SUPPLY DEPOT",46240,50.0972664668203,500.972664668203,2.84725954974426,"FUEL","US BDE STRYKER","DRY_BULK"
-605,3,"ANDONG SUPPLY DEPOT",122400,48.7384563733744,682.338389227242,2.71137854039968,"FUEL","ALLIED DIV INF","WATER"
-606,3,"ANDONG SUPPLY DEPOT",50000,58.7353637217854,352.412182330712,2.99403283330807,"FUEL","ALLIED BDE MECH","WATER"
-607,3,"ANDONG SUPPLY DEPOT",44115,50.0972664668203,300.583598800922,2.84725954974426,"FUEL","US BDE STRYKER","WATER"
-608,3,NA,24960,0,0,0,NA,"ALLIED MEB","WATER"
-609,3,"SEA BASE",7785,71.6603007308302,168.612472307836,2.56499869571286,"FUEL","US MEB","WATER"
-613,3,NA,40,0,0,0,NA,"ALLIED MEB","WATER"
-614,3,NA,7420,0,0,0,NA,"ALLIED MEB","DRY_BULK"
-615,4,"ANDONG SUPPLY DEPOT",115000,59.2419906338064,829.38786887329,3.04469552451017,"FUEL","US BDE MECH","FUEL"
-615,4,"ANDONG SUPPLY DEPOT",190000,59.2419906338064,1125.59782204232,2.62388961806496,"FUEL","US BDE MECH","FUEL"
-616,4,"ANDONG SUPPLY DEPOT",305000,58.7353637217854,1997.0023665407,2.99403283330807,"FUEL","ALLIED BDE MECH","FUEL"
-617,4,"ANDONG SUPPLY DEPOT",236900,48.7384563733744,1267.19986570774,2.71137854039968,"FUEL","ALLIED DIV INF","FUEL"
-618,4,"SEA BASE",60900,74.9310112695359,1234.15783267471,2.89206974958343,"FUEL","ALLIED MEB","FUEL"
-619,4,"SEA BASE",110000,71.6603007308302,1854.73719538619,2.56499869571286,"FUEL","US MEB","FUEL"
-619,4,"SEA BASE",11520,60.921435321034,487.371482568272,0.443064984152975,"FUEL","US MEB","FUEL"
-620,4,"ANDONG SUPPLY DEPOT",84320,50.0972664668203,500.972664668203,2.84725954974426,"FUEL","US BDE STRYKER","FUEL"
-621,4,"ANDONG SUPPLY DEPOT",54400,59.2419906338064,592.419906338064,3.04469552451017,"FUEL","US BDE MECH","DRY_BULK"
-622,4,"ANDONG SUPPLY DEPOT",54400,58.7353637217854,587.353637217854,2.99403283330807,"FUEL","ALLIED BDE MECH","DRY_BULK"
-623,4,"ANDONG SUPPLY DEPOT",86200,48.7384563733744,779.815301973991,2.71137854039968,"FUEL","ALLIED DIV INF","DRY_BULK"
-624,4,"ANDONG SUPPLY DEPOT",50000,59.2419906338064,355.451943802839,3.04469552451017,"FUEL","US BDE MECH","WATER"
-625,4,"SEA BASE",26275,56.9525866759366,455.620693407492,0.414200630370448,"FUEL","ALLIED MEB","DRY_BULK"
-626,4,"SEA BASE",66640,60.921435321034,974.742965136544,0.443064984152975,"FUEL","US MEB","DRY_BULK"
-627,4,"ANDONG SUPPLY DEPOT",122400,48.7384563733744,682.338389227242,2.71137854039968,"FUEL","ALLIED DIV INF","WATER"
-628,4,"ANDONG SUPPLY DEPOT",50000,58.7353637217854,352.412182330712,2.99403283330807,"FUEL","ALLIED BDE MECH","WATER"
-629,4,"ANDONG SUPPLY DEPOT",46240,50.0972664668203,500.972664668203,2.84725954974426,"FUEL","US BDE STRYKER","DRY_BULK"
-630,4,"SEA BASE",63577.5,60.921435321034,2599.31457369745,0.443064984152975,"FUEL","US MEB","WATER"
-631,4,"ANDONG SUPPLY DEPOT",44115,50.0972664668203,300.583598800922,2.84725954974426,"FUEL","US BDE STRYKER","WATER"
-632,4,"SEA BASE",43680,56.9525866759366,1670.60920916081,0.414200630370448,"FUEL","ALLIED MEB","WATER"
-633,4,NA,250000,0,0,0,NA,"BSA SUPPLY POINT","FUEL"
-633,4,"SEA BASE",36739.1320554328,58.6617747200886,1564.3139925357,0.426631088873372,"FUEL","BSA SUPPLY POINT","FUEL"
-634,4,NA,175000,0,0,0,NA,"BSA SUPPLY POINT","WATER"
-635,4,NA,2e+05,0,0,0,NA,"BSA SUPPLY POINT","DRY_BULK"
-642,5,"ANDONG SUPPLY DEPOT",150000,73.4611867384684,1101.91780107703,3.1591953895587,"FUEL","US BDE MECH","FUEL"
-642,5,"ANDONG SUPPLY DEPOT",48250,73.4611867384684,440.767120430811,3.69821647453357,"FUEL","US BDE MECH","FUEL"
-643,5,"ANDONG SUPPLY DEPOT",122000,71.2726113474405,997.816558864166,3.47935893543078,"FUEL","ALLIED BDE MECH","FUEL"
-644,5,"ANDONG SUPPLY DEPOT",180044,58.5382823438553,1170.76564687711,3.69136113744777,"FUEL","ALLIED DIV INF","FUEL"
-645,5,"BSA SUPPLY POINT",145080,5.67386924294978,85.1080386442467,0.567386924294978,"FUEL","ALLIED MEB","FUEL"
-646,5,"BSA SUPPLY POINT",104808.457215609,2.40315870424412,26.4347457466853,0.240315870424412,"FUEL","US MEB","FUEL"
-647,5,"ANDONG SUPPLY DEPOT",68200,57.2281948112689,457.825558490151,3.56035238418912,"FUEL","US BDE STRYKER","FUEL"
-648,5,"ANDONG SUPPLY DEPOT",35360,73.4611867384684,587.689493907748,3.69821647453357,"FUEL","US BDE MECH","DRY_BULK"
-649,5,"ANDONG SUPPLY DEPOT",21760,71.2726113474405,285.090445389762,3.47935893543078,"FUEL","ALLIED BDE MECH","DRY_BULK"
-650,5,"ANDONG SUPPLY DEPOT",65512,58.5382823438553,702.459388126264,3.69136113744777,"FUEL","ALLIED DIV INF","DRY_BULK"
-651,5,"ANDONG SUPPLY DEPOT",32500,73.4611867384684,293.844746953874,3.69821647453357,"FUEL","US BDE MECH","WATER"
-654,5,"ANDONG SUPPLY DEPOT",93024,58.5382823438553,585.382823438553,3.69136113744777,"FUEL","ALLIED DIV INF","WATER"
-655,5,"ANDONG SUPPLY DEPOT",20000,71.2726113474405,285.090445389762,3.47935893543078,"FUEL","ALLIED BDE MECH","WATER"
-656,5,"ANDONG SUPPLY DEPOT",37400,57.2281948112689,457.825558490151,3.56035238418912,"FUEL","US BDE STRYKER","DRY_BULK"
-658,5,"ANDONG SUPPLY DEPOT",35681.25,57.2281948112689,228.912779245075,3.56035238418912,"FUEL","US BDE STRYKER","WATER"
-660,5,"SEA BASE",190000,72.3733032583807,3235.5123809629,2.63629894846791,"FUEL","BSA SUPPLY POINT","FUEL"
-660,5,"SEA BASE",23260.8679445672,58.6617747200886,938.588395521418,0.426631088873372,"FUEL","BSA SUPPLY POINT","FUEL"
-661,5,"SEA BASE",125000,58.6617747200886,5005.80477611423,0.426631088873372,"FUEL","BSA SUPPLY POINT","WATER"
-662,5,"SEA BASE",110000,58.6617747200886,1564.3139925357,0.426631088873372,"FUEL","BSA SUPPLY POINT","DRY_BULK"
-669,6,"ANDONG SUPPLY DEPOT",274500,73.4250808687825,2055.90226432591,3.15558480259011,"FUEL","US BDE MECH","FUEL"
-670,6,"ANDONG SUPPLY DEPOT",1e+05,72.9235454741605,729.235454741605,3.1054312631279,"FUEL","ALLIED BDE MECH","FUEL"
-670,6,"ANDONG SUPPLY DEPOT",159250,72.9235454741605,1312.62381853489,3.64445234810278,"FUEL","ALLIED BDE MECH","FUEL"
-671,6,"ANDONG SUPPLY DEPOT",217948,89.3473453814785,2144.33628915548,5.08738911738136,"FUEL","ALLIED DIV INF","FUEL"
-672,6,"BSA SUPPLY POINT",108810,40.2711624376809,442.98278681449,2.07817798139788,"FUEL","ALLIED MEB","FUEL"
-673,6,"BSA SUPPLY POINT",130791.542784391,36.996742519754,517.954395276556,1.75073598960518,"FUEL","US MEB","FUEL"
-674,6,"ANDONG SUPPLY DEPOT",79360,92.9375808131121,929.375808131121,5.44641266054473,"FUEL","US BDE STRYKER","FUEL"
-675,6,"ANDONG SUPPLY DEPOT",48960,73.4250808687825,734.250808687825,3.69460588756498,"FUEL","US BDE MECH","DRY_BULK"
-676,6,"ANDONG SUPPLY DEPOT",46240,72.9235454741605,729.235454741605,3.64445234810278,"FUEL","ALLIED BDE MECH","DRY_BULK"
-677,6,"ANDONG SUPPLY DEPOT",79304,89.3473453814785,1250.8628353407,5.08738911738136,"FUEL","ALLIED DIV INF","DRY_BULK"
-678,6,"ANDONG SUPPLY DEPOT",45000,73.4250808687825,440.550485212695,3.69460588756498,"FUEL","US BDE MECH","WATER"
-679,6,"BSA SUPPLY POINT",65925,40.2711624376809,442.98278681449,2.07817798139788,"FUEL","ALLIED MEB","DRY_BULK"
-680,6,"BSA SUPPLY POINT",44075,36.996742519754,258.977197638278,1.75073598960518,"FUEL","US MEB","DRY_BULK"
-681,6,"ANDONG SUPPLY DEPOT",112608,89.3473453814785,1072.16814457774,5.08738911738136,"FUEL","ALLIED DIV INF","WATER"
-682,6,"ANDONG SUPPLY DEPOT",42500,72.9235454741605,437.541272844963,3.64445234810278,"FUEL","ALLIED BDE MECH","WATER"
-683,6,"ANDONG SUPPLY DEPOT",43520,58.2541939062837,621.378068333693,0.423666864772972,"FUEL","US BDE STRYKER","DRY_BULK"
-684,6,"BSA SUPPLY POINT",92900,36.996742519754,369.96742519754,2.01059442458788,"FUEL","US MEB","WATER"
-684,6,"BSA SUPPLY POINT",520,36.996742519754,131.54397340357,2.13571144883881,"FUEL","US MEB","WATER"
-685,6,"ANDONG SUPPLY DEPOT",41520,58.2541939062837,1708.78968791765,0.423666864772972,"FUEL","US BDE STRYKER","WATER"
-686,6,"BSA SUPPLY POINT",31580,40.2711624376809,161.084649750724,2.33803641638057,"FUEL","ALLIED MEB","WATER"
-687,6,"SEA BASE",250000,20.0129257371493,0,0,NA,"BSA SUPPLY POINT","FUEL"
-688,6,"SEA BASE",75000,34.6733617667786,571.090664394001,1.49312789952728,"FUEL","BSA SUPPLY POINT","WATER"
-689,6,"SEA BASE",25000,34.6733617667786,81.5843806277145,1.49312789952728,"FUEL","BSA SUPPLY POINT","DRY_BULK"
-696,7,"ANDONG SUPPLY DEPOT",274500,83.3356597475524,2333.39847293147,3.53228274091348,"FUEL","US BDE MECH","FUEL"
-697,7,"ANDONG SUPPLY DEPOT",199250,89.3673899427303,1966.08257874007,4.18380658108548,"FUEL","ALLIED BDE MECH","FUEL"
-697,7,"ANDONG SUPPLY DEPOT",60000,89.3673899427303,536.204339656382,3.47478084782226,"FUEL","ALLIED BDE MECH","FUEL"
-698,7,"ANDONG SUPPLY DEPOT",217948,87.5367943834561,2100.88306520295,4.90633401757913,"FUEL","ALLIED DIV INF","FUEL"
-699,7,"BSA SUPPLY POINT",72540,47.7984811990756,382.387849592605,1.70541700280762,"FUEL","ALLIED MEB","FUEL"
-700,7,"BSA SUPPLY POINT",89280,58.4939066916096,526.445160224486,2.29839672589807,"FUEL","US MEB","FUEL"
-701,7,"ANDONG SUPPLY DEPOT",79360,95.2593342826869,952.593342826869,5.6785880075022,"FUEL","US BDE STRYKER","FUEL"
-702,7,"ANDONG SUPPLY DEPOT",48960,83.3356597475524,833.356597475524,4.15321848582883,"FUEL","US BDE MECH","DRY_BULK"
-703,7,"ANDONG SUPPLY DEPOT",46240,89.3673899427303,893.673899427303,4.18380658108548,"FUEL","ALLIED BDE MECH","DRY_BULK"
-704,7,"ANDONG SUPPLY DEPOT",79304,87.5367943834561,1225.51512136839,4.90633401757913,"FUEL","ALLIED DIV INF","DRY_BULK"
-705,7,"ANDONG SUPPLY DEPOT",45000,83.3356597475524,500.013958485314,4.15321848582883,"FUEL","US BDE MECH","WATER"
-706,7,"BSA SUPPLY POINT",26370,47.7984811990756,238.992405995378,1.70541700280762,"FUEL","ALLIED MEB","DRY_BULK"
-707,7,"BSA SUPPLY POINT",83630,58.4939066916096,818.914693682534,2.29839672589807,"FUEL","US MEB","DRY_BULK"
-708,7,"ANDONG SUPPLY DEPOT",17608,64.1657830552928,855.543774070571,0.46666024040213,"FUEL","ALLIED DIV INF","WATER"
-708,7,"ANDONG SUPPLY DEPOT",95000,87.5367943834561,875.367943834561,4.90633401757913,"FUEL","ALLIED DIV INF","WATER"
-709,7,"ANDONG SUPPLY DEPOT",42500,72.0960056848434,2114.81616675541,0.524334586798861,"FUEL","ALLIED BDE MECH","WATER"
-711,7,"BSA SUPPLY POINT",46190,58.4939066916096,350.963440149657,2.70832087484473,"FUEL","US MEB","WATER"
-711,7,"BSA SUPPLY POINT",520,58.4939066916096,207.978334903501,2.94099271146075,"FUEL","US MEB","WATER"
-713,7,"BSA SUPPLY POINT",78290,47.7984811990756,477.984811990756,2.11534115175428,"FUEL","ALLIED MEB","WATER"
