Day,UnitName,TransportType,QuantityTransport,PoolAvailability,PoolUsage,Utilization,UtilizationSlack
16,"BSA SUPPLY POINT","Ltruck",10,120,0,0,1
16,"BSA SUPPLY POINT","Mtruck",10,100,9.54939946868386,0.0954939946868386,0.904506005313161
16,"BSA SUPPLY POINT","Htruck",2,20,0,0,1
16,"OBJ BLUE SUPPLY POINT","CH-53K",2,8.4,7.89600259087436,0.940000308437423,0.0599996915625767
16,"OBJ BLUE SUPPLY POINT","Mtruck",10,100,96.9057558055331,0.969057558055331,0.0309424419446691
16,"OBJ BLUE SUPPLY POINT","Htruck",20,200,197.689484056621,0.988447420283103,0.0115525797168966
17,"ANDONG SUPPLY DEPOT","CH-53K",2,8.4,8.08789717880093,0.962844902238206,0.0371550977617937
17,"ANDONG SUPPLY DEPOT","Htruck",25,250,249.895620988934,0.999582483955734,0.000417516044265653
17,"ANDONG SUPPLY DEPOT","Mtruck",2,20,17.9499419759709,0.897497098798544,0.102502901201456
17,"SEA BASE","CH-53K",8,33.6,0,0,1
17,"SEA BASE","LCAC",12,50.4,0,0,1
17,"BSA SUPPLY POINT","Ltruck",10,120,0,0,1
17,"BSA SUPPLY POINT","Mtruck",10,100,0,0,1
17,"BSA SUPPLY POINT","Htruck",2,20,0,0,1
17,"OBJ BLUE SUPPLY POINT","CH-53K",2,8.4,2.83537373855819,0.337544492685499,0.662455507314501
17,"OBJ BLUE SUPPLY POINT","Mtruck",10,100,99.5546252038021,0.995546252038021,0.00445374796197884
17,"OBJ BLUE SUPPLY POINT","Htruck",20,200,197.559701252745,0.987798506263726,0.0122014937362743
17,"OBJ YELLOW SUPPLY POINT","CH-53K",2,8.4,8.20433429250365,0.976706463393291,0.0232935366067087
17,"OBJ YELLOW SUPPLY POINT","Mtruck",5,50,49.7191806938445,0.99438361387689,0.00561638612311011
17,"OBJ YELLOW SUPPLY POINT","Htruck",15,150,149.761374376985,0.998409162513236,0.00159083748676414
18,"ANDONG SUPPLY DEPOT","CH-53K",2,8.4,8.08789717880093,0.962844902238206,0.0371550977617937
18,"ANDONG SUPPLY DEPOT","Htruck",25,250,249.895620988934,0.999582483955734,0.000417516044265653
18,"ANDONG SUPPLY DEPOT","Mtruck",2,20,17.9499419759709,0.897497098798544,0.102502901201456
18,"SEA BASE","CH-53K",8,33.6,0,0,1
18,"SEA BASE","LCAC",12,50.4,0,0,1
18,"BSA SUPPLY POINT","Ltruck",10,120,0,0,1
18,"BSA SUPPLY POINT","Mtruck",10,100,0,0,1
18,"BSA SUPPLY POINT","Htruck",2,20,0,0,1
18,"OBJ BLUE SUPPLY POINT","CH-53K",2,8.4,0,0,1
18,"OBJ BLUE SUPPLY POINT","Mtruck",10,100,98.9486701277607,0.989486701277607,0.0105132987223934
18,"OBJ BLUE SUPPLY POINT","Htruck",20,200,74.4897234231662,0.372448617115831,0.627551382884169
18,"OBJ YELLOW SUPPLY POINT","CH-53K",2,8.4,8.19196183169986,0.97523355139284,0.0247664486071599
18,"OBJ YELLOW SUPPLY POINT","Mtruck",5,50,48.2314402610134,0.964628805220268,0.0353711947797318
18,"OBJ YELLOW SUPPLY POINT","Htruck",15,150,149.615086832748,0.997433912218318,0.00256608778168188
19,"ANDONG SUPPLY DEPOT","CH-53K",2,8.4,8.08789717880093,0.962844902238206,0.0371550977617937
19,"ANDONG SUPPLY DEPOT","Htruck",25,250,249.895620988934,0.999582483955734,0.000417516044265764
19,"ANDONG SUPPLY DEPOT","Mtruck",2,20,17.9499419759709,0.897497098798544,0.102502901201456
19,"SEA BASE","CH-53K",8,33.6,0,0,1
19,"SEA BASE","LCAC",12,50.4,0,0,1
19,"BSA SUPPLY POINT","Ltruck",10,120,0,0,1
19,"BSA SUPPLY POINT","Mtruck",10,100,0,0,1
19,"BSA SUPPLY POINT","Htruck",2,20,0,0,1
19,"OBJ BLUE SUPPLY POINT","CH-53K",2,8.4,0,0,1
19,"OBJ BLUE SUPPLY POINT","Mtruck",10,100,99.5546252038021,0.995546252038021,0.00445374796197884
19,"OBJ BLUE SUPPLY POINT","Htruck",20,200,155.456814100521,0.777284070502604,0.222715929497396
19,"OBJ YELLOW SUPPLY POINT","CH-53K",2,8.4,8.04285845870939,0.957483149846356,0.0425168501536444
19,"OBJ YELLOW SUPPLY POINT","Mtruck",5,50,49.5996334611246,0.991992669222493,0.00800733077750737
19,"OBJ YELLOW SUPPLY POINT","Htruck",15,150,149.727757845444,0.998185052302959,0.0018149476970406
