ArcID,Day,IsOpen,TrafficLimit,TrafficFlowed,TrafficSlack,Utilization,RiskScore
"sea base to sea lane 1",2,True,Infinity,0,Infinity,,0
"sea lane ab",2,True,Infinity,0,Infinity,,0
"sea lane bc",2,False,Infinity,0,Infinity,,0
"sea lane into Pohang",2,False,Infinity,0,Infinity,,0
"northern sea lane",2,False,Infinity,0,Infinity,,0
"sea lane into north of pohang",2,False,Infinity,0,Infinity,,0
"Yeongchon north",2,True,Infinity,0,Infinity,,0
"Yeongchon south",2,True,Infinity,0,Infinity,,0
"55-ab",3,True,Infinity,0,Infinity,,0
"55-bc",3,True,Infinity,692800,Infinity,,0
"55-cd",3,True,Infinity,692800,Infinity,,0
"55-de",3,True,Infinity,692800,Infinity,,0
"55-ef",3,True,Infinity,692800,Infinity,,0
"55fg",3,True,Infinity,692800,Infinity,,0
"55-gh",3,True,Infinity,0,Infinity,,0
"55-hj",3,True,Infinity,0,Infinity,,0
"55-jk",3,True,Infinity,0,Infinity,,0
"55-kl",3,True,Infinity,0,Infinity,,0
"55-lm",3,True,Infinity,0,Infinity,,0
"55 west of Daegu",3,True,Infinity,0,Infinity,,0
"55 east of Daegu",3,True,Infinity,0,Infinity,,0
"55-no",3,True,325000,0,325000,0,0
"55-op",3,True,Infinity,0,Infinity,,0
"55-pq",3,True,Infinity,0,Infinity,,0
"55-qr",3,True,Infinity,0,Infinity,,0
"55-rs",3,True,Infinity,0,Infinity,,0
"55-st",3,True,Infinity,0,Infinity,,0
"55-tu",3,True,Infinity,0,Infinity,,0
"55-uv",3,True,Infinity,0,Infinity,,0
"55 near Gimhae",3,True,Infinity,0,Infinity,,0
"10-a",3,True,Infinity,0,Infinity,,0
"10-b",3,True,Infinity,0,Infinity,,0
"10-c",3,True,Infinity,0,Infinity,,0
"Andong-55",3,True,Infinity,692800,Infinity,,0
"35 east of Andong",3,True,Infinity,549270.4,Infinity,,0
"35ab",3,True,Infinity,549270.4,Infinity,,0
"35bc",3,True,Infinity,549270.4,Infinity,,0
"35cd",3,True,Infinity,0,Infinity,,0
"55-Gyeongbuk",3,True,Infinity,0,Infinity,,0
"35-Gyeongbuk",3,True,Infinity,0,Infinity,,0
"20 west Pohang",3,True,Infinity,0,Infinity,,0
"20-bc",3,True,Infinity,0,Infinity,,0
"20-35",3,True,Infinity,0,Infinity,,0
"20-daegu",3,True,Infinity,0,Infinity,,0
"Pohang north",3,True,Infinity,0,Infinity,,0
"Ulsan-1",3,True,Infinity,0,Infinity,,0
"55-1",3,True,Infinity,0,Infinity,,0
"1-ab",3,True,Infinity,0,Infinity,,0
"1-bc",3,True,Infinity,0,Infinity,,0
"1-cd",3,True,Infinity,0,Infinity,,0
"1-de",3,True,Infinity,0,Infinity,,0
"1-ef",3,True,Infinity,0,Infinity,,0
"Yangsan-55",3,True,Infinity,0,Infinity,,0
"Pohang Northwest",3,True,Infinity,0,Infinity,,0
"Busan-Yangsan",3,True,Infinity,0,Infinity,,0
"Ulsan-Busan",3,True,Infinity,0,Infinity,,0
"Ulsan-Busan sea",3,True,Infinity,0,Infinity,,0
"Ulsan sea appraoch",3,True,Infinity,0,Infinity,,0
"Sea base",3,True,Infinity,0,Infinity,,0
"sea base to sea lane",3,True,Infinity,0,Infinity,,0
"sea base to sea lane 1",3,True,Infinity,0,Infinity,,0
"sea lane ab",3,True,Infinity,0,Infinity,,0
"sea lane bc",3,False,Infinity,0,Infinity,,0
"sea lane into Pohang",3,False,Infinity,0,Infinity,,0
"northern sea lane",3,False,Infinity,0,Infinity,,0
"sea lane into north of pohang",3,False,Infinity,0,Infinity,,0
"Yeongchon north",3,True,Infinity,0,Infinity,,0
"Yeongchon south",3,True,Infinity,0,Infinity,,0
"55-ab",4,True,Infinity,0,Infinity,,0
"55-bc",4,True,Infinity,692800,Infinity,,0
"55-cd",4,True,Infinity,692800,Infinity,,0
"55-de",4,True,Infinity,692800,Infinity,,0
"55-ef",4,True,Infinity,692800,Infinity,,0
"55fg",4,True,Infinity,692800,Infinity,,0
"55-gh",4,True,Infinity,0,Infinity,,0
"55-hj",4,True,Infinity,0,Infinity,,0
"55-jk",4,True,Infinity,0,Infinity,,0
"55-kl",4,True,Infinity,0,Infinity,,0
"55-lm",4,True,Infinity,0,Infinity,,0
"55 west of Daegu",4,True,Infinity,0,Infinity,,0
"55 east of Daegu",4,True,Infinity,0,Infinity,,0
"55-no",4,True,325000,0,325000,0,0
"55-op",4,True,Infinity,0,Infinity,,0
"55-pq",4,True,Infinity,0,Infinity,,0
"55-qr",4,True,Infinity,0,Infinity,,0
"55-rs",4,True,Infinity,0,Infinity,,0
"55-st",4,True,Infinity,0,Infinity,,0
"55-tu",4,True,Infinity,0,Infinity,,0
"55-uv",4,True,Infinity,0,Infinity,,0
"55 near Gimhae",4,True,Infinity,0,Infinity,,0
"10-a",4,True,Infinity,0,Infinity,,0
"10-b",4,True,Infinity,0,Infinity,,0
"10-c",4,True,Infinity,0,Infinity,,0
"Andong-55",4,True,Infinity,692800,Infinity,,0
"35 east of Andong",4,True,Infinity,549270.4,Infinity,,0
"35ab",4,True,Infinity,549270.4,Infinity,,0
"35bc",4,True,Infinity,549270.4,Infinity,,0
"35cd",4,True,Infinity,0,Infinity,,0
"55-Gyeongbuk",4,True,Infinity,0,Infinity,,0
"35-Gyeongbuk",4,True,Infinity,0,Infinity,,0
"20 west Pohang",4,True,Infinity,0,Infinity,,0
