TransportDeliveryID,RequestID,Day,SupplyingLogNode,TransportType,TransportConfiguration,DeliveredAmount,DeliveredWeight,FuelTypeExpended,FuelAmountExpended,ConvoyProtectionFuelExpended,Distance,Sorties,TransportTimeSpent,SortieDurationPer,Scripted
-420,-604,3,"ANDONG SUPPLY DEPOT","Htruck","Default",122400,117504,"FUEL",682.338389227242,0,48.7384563733744,7,18.9796497827977,2.71137854039968,False
-421,-605,3,"ANDONG SUPPLY DEPOT","Htruck","Default",50000,48000,"FUEL",352.412182330712,0,58.7353637217854,3,8.98209849992422,2.99403283330807,False
-422,-606,3,"ANDONG SUPPLY DEPOT","Htruck","Default",44115,42350.4,"FUEL",300.583598800922,0,50.0972664668203,3,8.54177864923279,2.84725954974426,False
-423,-608,3,"SEA BASE","CH-53K","Default",7785,7473.6,"FUEL",324.914321712181,0,60.921435321034,2,0.886129968305949,0.443064984152975,False
-424,-614,4,"ANDONG SUPPLY DEPOT","Mtruck","Default",190000,152000,"FUEL",1125.59782204232,0,59.2419906338064,19,49.8539027432343,2.62388961806496,False
-425,-614,4,"ANDONG SUPPLY DEPOT","Htruck","Default",115000,92000,"FUEL",829.38786887329,0,59.2419906338064,7,21.3128686715712,3.04469552451017,False
-426,-615,4,"ANDONG SUPPLY DEPOT","Htruck","Default",305000,244000,"FUEL",1997.0023665407,0,58.7353637217854,17,50.8985581662372,2.99403283330807,False
-427,-616,4,"ANDONG SUPPLY DEPOT","Htruck","Default",236900,189520,"FUEL",1267.19986570774,0,48.7384563733744,13,35.2479210251958,2.71137854039968,False
-428,-617,4,"SEA BASE","CH-53K","Default",60900,48720,"FUEL",2429.97703150663,0,56.9525866759366,16,6.62721008592716,0.414200630370448,False
-429,-618,4,"SEA BASE","CH-53K","Default",121520,97216,"FUEL",5036.17198653881,0,60.921435321034,31,13.7350145087422,0.443064984152975,False
-430,-619,4,"ANDONG SUPPLY DEPOT","Htruck","Default",84320,67456,"FUEL",500.972664668203,0,50.0972664668203,5,14.2362977487213,2.84725954974426,False
-431,-620,4,"ANDONG SUPPLY DEPOT","Htruck","Default",54400,54400,"FUEL",592.419906338064,0,59.2419906338064,5,15.2234776225509,3.04469552451017,False
-432,-621,4,"ANDONG SUPPLY DEPOT","Htruck","Default",54400,54400,"FUEL",587.353637217854,0,58.7353637217854,5,14.9701641665404,2.99403283330807,False
-433,-622,4,"ANDONG SUPPLY DEPOT","Htruck","Default",86200,86200,"FUEL",779.815301973991,0,48.7384563733744,8,21.6910283231974,2.71137854039968,False
-434,-623,4,"ANDONG SUPPLY DEPOT","Htruck","Default",50000,48000,"FUEL",355.451943802839,0,59.2419906338064,3,9.13408657353052,3.04469552451017,False
-435,-624,4,"SEA BASE","CH-53K","Default",26275,26275,"FUEL",455.620693407492,0,56.9525866759366,3,1.24260189111134,0.414200630370448,False
-436,-625,4,"SEA BASE","CH-53K","Default",66640,66640,"FUEL",974.742965136544,0,60.921435321034,6,2.65838990491785,0.443064984152975,False
-437,-626,4,"ANDONG SUPPLY DEPOT","Htruck","Default",122400,117504,"FUEL",682.338389227242,0,48.7384563733744,7,18.9796497827977,2.71137854039968,False
-438,-627,4,"ANDONG SUPPLY DEPOT","Htruck","Default",50000,48000,"FUEL",352.412182330712,0,58.7353637217854,3,8.98209849992422,2.99403283330807,False
-439,-628,4,"ANDONG SUPPLY DEPOT","Htruck","Default",46240,46240,"FUEL",500.972664668203,0,50.0972664668203,5,14.2362977487213,2.84725954974426,False
-440,-629,4,"SEA BASE","CH-53K","Default",63577.5,61034.4,"FUEL",2599.31457369745,0,60.921435321034,16,7.08903974644759,0.443064984152975,False
-441,-630,4,"ANDONG SUPPLY DEPOT","Htruck","Default",44115,42350.4,"FUEL",300.583598800922,0,50.0972664668203,3,8.54177864923279,2.84725954974426,False
