TransportDeliveryID,ArcID
-540,"20-35"
-540,"Yeongchon north"
-540,"Yeongchon south"
-540,"1-ab"
-541,"Yeongchon north"
-541,"Yeongchon south"
-542,"20 west Pohang"
-542,"20-bc"
-542,"20-35"
-543,"35 east of Andong"
-543,"35ab"
-543,"35bc"
-543,"35cd"
-545,"35 east of Andong"
-545,"35ab"
-545,"35bc"
-545,"35cd"
-549,"20-daegu"
-549,"55 east of Daegu"
-549,"55-no"
-550,"20-daegu"
-550,"55 east of Daegu"
-550,"55-no"
-552,"Yeongchon north"
-552,"Yeongchon south"
-552,"1-bc"
-553,"20 west Pohang"
-553,"20-bc"
-553,"20-35"
-553,"Yeongchon north"
-554,"20 west Pohang"
-554,"20-bc"
-554,"20-35"
-555,"Yeongchon north"
-555,"Yeongchon south"
-555,"1-bc"
-556,"20 west Pohang"
-556,"20-bc"
-556,"20-35"
-557,"20 west Pohang"
-557,"20-bc"
-557,"20-35"
-557,"Yeongchon north"
-559,"20 west Pohang"
-559,"20-bc"
-559,"20-35"
-559,"Yeongchon north"
-560,"20 west Pohang"
-560,"20-bc"
-560,"20-35"
-561,"35 east of Andong"
-561,"35ab"
-561,"35bc"
-561,"35cd"
-562,"35 east of Andong"
-562,"35ab"
-562,"35bc"
-562,"35cd"
-564,"35 east of Andong"
-564,"35ab"
-564,"35bc"
-564,"35cd"
-567,"20-daegu"
-567,"55 east of Daegu"
-567,"55-no"
-567,"55-op"
-568,"20-daegu"
-568,"55 east of Daegu"
-568,"55-no"
-568,"55-op"
-569,"20-daegu"
-569,"55 east of Daegu"
-569,"55-no"
-569,"55-op"
-571,"Yeongchon north"
-571,"Yeongchon south"
-571,"1-bc"
-571,"1-cd"
-572,"20 west Pohang"
-572,"20-bc"
-572,"20-35"
-572,"Yeongchon north"
-573,"20 west Pohang"
-573,"20-bc"
-573,"20-35"
-574,"Yeongchon north"
-574,"Yeongchon south"
-574,"1-bc"
-574,"1-cd"
-575,"Yeongchon north"
-575,"Yeongchon south"
-575,"1-bc"
-575,"1-cd"
-575,"1-de"
-575,"1-ef"
-575,"Yangsan-55"
-575,"55-uv"
-575,"55-tu"
-575,"55-st"
-575,"55-rs"
-575,"55-qr"
-575,"55-pq"
-576,"Yeongchon north"
-576,"Yeongchon south"
-576,"1-bc"
-576,"1-cd"
-576,"1-de"
-576,"1-ef"
-576,"Yangsan-55"
-576,"55-uv"
-576,"55-tu"
-576,"55-st"
-576,"55-rs"
-576,"55-qr"
-576,"55-pq"
-577,"Yeongchon north"
-577,"Yeongchon south"
-577,"1-bc"
-577,"1-cd"
-579,"20 west Pohang"
-579,"20-bc"
-579,"20-35"
-580,"20 west Pohang"
-580,"20-bc"
